"","ds","y"
"1",2019-05-28 00:03:00,478
"2",2019-05-30 00:00:30,515
"3",2019-05-31 00:16:00,499
"4",2019-05-31 23:41:00,529
"5",2019-06-02 01:19:00,463
"6",2019-06-03 00:37:00,505
"7",2019-06-03 23:40:00,595
"8",2019-06-05 01:34:30,449
"9",2019-06-06 00:36:00,523
"10",2019-06-07 00:40:00,525
"11",2019-06-08 01:10:30,496
"12",2019-06-09 00:59:00,488
"13",2019-06-10 01:33:30,443
"14",2019-06-11 02:15:30,421
"15",2019-06-12 00:51:30,527
"16",2019-06-13 00:29:00,384
"17",2019-06-14 02:19:30,494
"18",2019-06-15 01:40:30,434
"19",2019-06-16 01:50:30,440
"20",2019-06-17 01:16:00,353
"21",2019-06-18 00:34:00,561
"22",2019-06-19 00:45:30,550
"23",2019-06-20 01:34:30,444
"24",2019-06-21 02:29:00,416
"25",2019-06-22 01:12:00,502
"26",2019-06-23 01:50:00,445
"27",2019-06-24 02:34:30,429
"28",2019-06-25 00:59:00,449
"29",2019-06-26 00:44:00,493
"30",2019-06-27 00:53:00,470
"31",2019-06-28 22:37:00,597
"32",2019-06-30 00:18:30,533
"33",2019-07-01 01:55:00,384
"34",2019-07-01 23:50:30,559
"35",2019-07-02 23:18:30,236
"36",2019-07-04 12:36:30,206
"37",2019-07-05 01:57:30,460
"38",2019-07-06 01:57:00,338
"39",2019-07-07 00:13:30,318
"40",2019-07-08 03:13:00,473
"41",2019-07-09 01:14:30,224
"42",2019-07-10 02:38:30,599
"43",2019-07-11 02:46:30,485
"44",2019-07-12 12:04:00,198
"45",2019-07-13 03:33:00,483
"46",2019-07-14 02:46:00,552
"47",2019-07-15 01:28:00,462
"48",2019-07-17 02:06:30,414
"49",2019-07-18 00:19:00,440
"50",2019-07-19 02:02:30,445
"51",2019-07-20 02:58:00,451
"52",2019-07-21 00:28:00,392
"53",2019-07-22 00:44:30,609
"54",2019-07-23 01:55:00,528
"55",2019-07-24 01:13:30,489
"56",2019-07-25 00:41:00,443
"57",2019-07-26 02:16:00,353
"58",2019-07-27 00:12:30,524
"59",2019-07-28 01:27:00,532
"60",2019-07-29 02:05:00,542
"61",2019-07-30 02:14:30,436
"62",2019-07-31 02:18:30,430
"63",2019-08-01 01:29:00,517
"64",2019-08-02 00:53:00,336
"65",2019-08-03 01:04:00,506
"66",2019-08-04 01:06:00,508
"67",2019-08-05 00:41:00,410
"68",2019-08-06 00:15:30,439
"69",2019-08-07 01:07:30,484
"70",2019-08-07 23:16:30,606
"71",2019-08-09 00:33:00,476
"72",2019-08-10 01:53:00,466
"73",2019-08-11 01:21:30,500
"74",2019-08-12 01:33:00,476
"75",2019-08-13 01:23:00,470
"76",2019-08-14 01:11:00,485
"77",2019-08-15 00:53:30,498
"78",2019-08-16 02:19:30,379
"79",2019-08-17 01:57:30,523
"80",2019-08-18 02:25:30,430
"81",2019-08-19 00:01:00,296
"82",2019-08-21 01:20:30,443
"83",2019-08-22 00:37:30,426
"84",2019-08-23 07:44:30,325
"85",2019-08-24 00:55:00,511
"86",2019-08-25 02:46:30,494
"87",2019-08-26 01:49:30,487
"88",2019-08-27 03:03:30,356
"89",2019-08-28 00:32:00,613
"90",2019-08-29 01:26:30,508
"91",2019-08-30 00:06:30,229
"92",2019-08-31 01:06:30,547
"93",2019-09-01 00:57:00,504
"94",2019-09-01 21:22:00,388
"95",2019-09-03 02:47:00,419
"96",2019-09-03 23:56:00,363
"97",2019-09-05 23:48:30,370
"98",2019-09-16 01:32:30,501
"99",2019-09-17 02:20:00,412
"100",2019-09-18 01:50:00,469
"101",2019-09-19 02:36:00,461
"102",2019-09-20 02:33:00,395
"103",2019-09-21 01:44:30,460
"104",2019-09-22 01:48:30,499
"105",2019-09-23 00:44:00,585
"106",2019-09-24 01:43:30,471
"107",2019-09-25 01:46:00,426
"108",2019-09-26 00:03:00,385
"109",2019-09-27 00:13:30,271
"110",2019-09-28 00:23:30,533
"111",2019-09-29 01:18:30,452
"112",2019-09-30 01:18:00,461
"113",2019-10-01 00:18:30,516
"114",2019-10-02 01:18:30,453
"115",2019-10-03 00:55:00,444
"116",2019-10-04 01:25:30,434
"117",2019-10-05 01:24:00,487
"118",2019-10-06 00:10:30,495
"119",2019-10-07 00:16:30,531
"120",2019-10-08 00:55:00,461
"121",2019-10-09 01:13:30,432
"122",2019-10-10 00:07:00,527
"123",2019-10-11 00:54:00,479
"124",2019-10-12 01:10:00,471
"125",2019-10-13 01:06:00,480
"126",2019-10-14 00:16:00,438
"127",2019-10-15 01:27:00,435
"128",2019-10-16 00:10:00,432
"129",2019-10-16 22:32:30,401
"130",2019-10-17 22:14:00,555
"131",2019-10-20 04:04:00,446
"132",2019-10-21 02:08:00,459
"133",2019-10-21 23:08:30,544
"134",2019-10-22 23:47:30,509
"135",2019-10-23 23:37:00,539
