dateTime,value
2019-06-06,2210
2019-06-07,2677
2019-06-08,2561
2019-06-09,3141
2019-06-10,2248
2019-06-11,2401
2019-06-12,2619
2019-06-13,2780
2019-06-14,2290
2019-06-15,2357
2019-06-16,2558
2019-06-17,2390
2019-06-18,4281
2019-06-19,2227
2019-06-20,1860
2019-06-21,2352
2019-06-22,1938
2019-06-23,3118
2019-06-24,1870
2019-06-25,2374
2019-06-26,2576
2019-06-27,2136
2019-06-28,2290
2019-06-29,2403
2019-06-30,3630
2019-07-01,3005
2019-07-02,2242
2019-07-03,2296
2019-07-04,3058
2019-07-05,3328
2019-07-06,2271
