dateTime,value
2019-06-06,48
2019-06-07,85
2019-06-08,27
2019-06-09,295
2019-06-10,48
2019-06-11,112
2019-06-12,88
2019-06-13,173
2019-06-14,57
2019-06-15,18
2019-06-16,45
2019-06-17,109
2019-06-18,1146
2019-06-19,48
2019-06-20,6
2019-06-21,39
2019-06-22,15
2019-06-23,316
2019-06-24,18
2019-06-25,15
2019-06-26,27
2019-06-27,9
2019-06-28,33
2019-06-29,57
2019-06-30,42
2019-07-01,57
2019-07-02,21
2019-07-03,27
2019-07-04,42
2019-07-05,30
2019-07-06,36
2019-07-07,103
2019-07-08,36
2019-07-09,42
2019-07-10,60
2019-07-11,79
2019-07-12,131
2019-07-13,64
2019-07-14,36
2019-07-15,100
2019-07-16,60
2019-07-17,45
2019-07-18,265
2019-07-19,21
2019-07-20,33
2019-07-21,15
2019-07-22,6
2019-07-23,12
2019-07-24,12
2019-07-25,310
2019-07-26,9
2019-07-27,18
2019-07-28,106
2019-07-29,6
2019-07-30,9
2019-07-31,9
2019-08-01,3
2019-08-02,24
2019-08-03,42
2019-08-04,146
2019-08-05,9
2019-08-06,36
