dateTime,value
2019-05-28,20
2019-05-29,26
2019-05-30,71
2019-05-31,40
2019-06-01,8
2019-06-02,12
2019-06-03,13
2019-06-04,73
2019-06-05,26
2019-06-06,18
2019-06-07,27
2019-06-08,45
2019-06-09,69
2019-06-10,20
2019-06-11,26
2019-06-12,38
2019-06-13,42
2019-06-14,24
2019-06-15,18
2019-06-16,20
2019-06-17,32
2019-06-18,112
2019-06-19,16
2019-06-20,0
2019-06-21,8
2019-06-22,0
2019-06-23,51
2019-06-24,0
2019-06-25,0
2019-06-26,0
2019-06-27,0
2019-06-28,0
2019-06-29,0
2019-06-30,84
2019-07-01,11
2019-07-02,4
2019-07-03,0
2019-07-04,61
2019-07-05,66
2019-07-06,44
2019-07-07,78
2019-07-08,24
2019-07-09,24
2019-07-10,56
2019-07-11,59
2019-07-12,66
2019-07-13,78
2019-07-14,14
2019-07-15,54
2019-07-16,0
2019-07-17,16
2019-07-18,85
2019-07-19,12
2019-07-20,37
2019-07-21,53
2019-07-22,43
2019-07-23,15
2019-07-24,0
2019-07-25,82
2019-07-26,33
2019-07-27,33
2019-07-28,60
2019-07-29,6
2019-07-30,47
2019-07-31,15
2019-08-01,30
2019-08-02,9
2019-08-03,26
2019-08-04,22
2019-08-05,0
2019-08-06,114
2019-08-07,5
2019-08-08,15
2019-08-09,21
2019-08-10,48
2019-08-11,43
2019-08-12,31
2019-08-13,37
2019-08-14,11
2019-08-15,7
2019-08-16,28
2019-08-17,19
2019-08-18,10
2019-08-19,43
2019-08-20,10
2019-08-21,30
2019-08-22,33
2019-08-23,11
2019-08-24,11
2019-08-25,9
2019-08-26,11
2019-08-27,69
2019-08-28,20
2019-08-29,20
2019-08-30,7
2019-08-31,73
2019-09-01,19
2019-09-02,81
2019-09-03,10
2019-09-04,45
2019-09-05,29
2019-09-06,80
2019-09-07,0
2019-09-08,0
2019-09-09,0
2019-09-10,0
2019-09-11,0
2019-09-12,0
2019-09-13,0
