dateTime,value
2019-05-28,332
2019-05-29,275
2019-05-30,223
2019-05-31,182
2019-06-01,184
2019-06-02,237
2019-06-03,222
2019-06-04,221
2019-06-05,137
2019-06-06,116
2019-06-07,266
2019-06-08,207
2019-06-09,175
2019-06-10,155
2019-06-11,175
2019-06-12,233
2019-06-13,247
2019-06-14,135
2019-06-15,206
2019-06-16,242
2019-06-17,150
2019-06-18,212
2019-06-19,145
2019-06-20,80
2019-06-21,224
2019-06-22,122
2019-06-23,283
2019-06-24,77
2019-06-25,240
2019-06-26,307
2019-06-27,177
2019-06-28,209
2019-06-29,254
2019-06-30,415
2019-07-01,388
2019-07-02,201
2019-07-03,204
2019-07-04,326
2019-07-05,389
2019-07-06,359
2019-07-07,414
2019-07-08,272
2019-07-09,293
2019-07-10,189
2019-07-11,204
2019-07-12,300
2019-07-13,199
2019-07-14,157
2019-07-15,146
2019-07-16,147
2019-07-17,231
2019-07-18,313
2019-07-19,176
2019-07-20,189
2019-07-21,248
2019-07-22,203
2019-07-23,211
2019-07-24,232
2019-07-25,303
2019-07-26,264
2019-07-27,269
2019-07-28,343
2019-07-29,143
2019-07-30,114
2019-07-31,109
2019-08-01,192
2019-08-02,306
2019-08-03,190
2019-08-04,195
2019-08-05,204
2019-08-06,343
2019-08-07,99
2019-08-08,123
2019-08-09,304
2019-08-10,268
2019-08-11,224
2019-08-12,210
2019-08-13,152
2019-08-14,143
2019-08-15,173
2019-08-16,174
2019-08-17,207
2019-08-18,109
2019-08-19,302
2019-08-20,202
2019-08-21,211
2019-08-22,252
2019-08-23,181
2019-08-24,133
2019-08-25,227
2019-08-26,135
2019-08-27,339
2019-08-28,170
2019-08-29,277
2019-08-30,344
2019-08-31,163
2019-09-01,165
2019-09-02,392
2019-09-03,234
2019-09-04,345
2019-09-05,298
2019-09-06,262
2019-09-07,10
2019-09-08,0
2019-09-09,0
2019-09-10,0
2019-09-11,0
2019-09-12,0
2019-09-13,0
