dateTime,value
2019-06-06,766
2019-06-07,612
2019-06-08,676
2019-06-09,607
2019-06-10,814
2019-06-11,808
2019-06-12,623
2019-06-13,750
2019-06-14,776
2019-06-15,659
2019-06-16,720
2019-06-17,881
2019-06-18,328
2019-06-19,720
2019-06-20,916
2019-06-21,784
2019-06-22,661
2019-06-23,598
2019-06-24,934
2019-06-25,751
2019-06-26,640
2019-06-27,793
2019-06-28,1231
2019-06-29,589
2019-06-30,358
2019-07-01,646
2019-07-02,658
2019-07-03,799
2019-07-04,814
2019-07-05,495
2019-07-06,676
2019-07-07,565
2019-07-08,661
2019-07-09,884
2019-07-10,549
2019-07-11,611
2019-07-12,652
2019-07-13,650
2019-07-14,703
2019-07-15,712
2019-07-16,1293
2019-07-17,774
2019-07-18,546
2019-07-19,806
2019-07-20,739
2019-07-21,673
2019-07-22,409
2019-07-23,668
2019-07-24,719
2019-07-25,528
2019-07-26,775
2019-07-27,583
2019-07-28,475
2019-07-29,736
2019-07-30,797
2019-07-31,863
2019-08-01,667
2019-08-02,783
2019-08-03,683
2019-08-04,697
2019-08-05,826
2019-08-06,691
