dateTime,value
2019-05-28,24
2019-05-29,21
2019-05-30,32
2019-05-31,22
2019-06-01,15
2019-06-02,0
2019-06-03,7
2019-06-04,48
2019-06-05,14
2019-06-06,17
2019-06-07,10
2019-06-08,16
2019-06-09,101
2019-06-10,8
2019-06-11,10
2019-06-12,19
2019-06-13,17
2019-06-14,11
2019-06-15,9
2019-06-16,18
2019-06-17,24
2019-06-18,227
2019-06-19,9
2019-06-20,0
2019-06-21,8
2019-06-22,0
2019-06-23,63
2019-06-24,0
2019-06-25,0
2019-06-26,0
2019-06-27,0
2019-06-28,0
2019-06-29,0
2019-06-30,50
2019-07-01,11
2019-07-02,18
2019-07-03,0
2019-07-04,33
2019-07-05,30
2019-07-06,23
2019-07-07,65
2019-07-08,10
2019-07-09,15
2019-07-10,47
2019-07-11,81
2019-07-12,47
2019-07-13,30
2019-07-14,14
2019-07-15,66
2019-07-16,0
2019-07-17,5
2019-07-18,56
2019-07-19,1
2019-07-20,24
2019-07-21,74
2019-07-22,32
2019-07-23,18
2019-07-24,0
2019-07-25,84
2019-07-26,15
2019-07-27,31
2019-07-28,30
2019-07-29,13
2019-07-30,46
2019-07-31,23
2019-08-01,34
2019-08-02,6
2019-08-03,35
2019-08-04,18
2019-08-05,0
2019-08-06,35
2019-08-07,24
2019-08-08,23
2019-08-09,19
2019-08-10,38
2019-08-11,44
2019-08-12,13
2019-08-13,40
2019-08-14,13
2019-08-15,3
2019-08-16,19
2019-08-17,12
2019-08-18,13
2019-08-19,10
2019-08-20,11
2019-08-21,23
2019-08-22,6
2019-08-23,1
2019-08-24,14
2019-08-25,11
2019-08-26,11
2019-08-27,49
2019-08-28,28
2019-08-29,18
2019-08-30,1
2019-08-31,3
2019-09-01,8
2019-09-02,52
2019-09-03,0
2019-09-04,13
2019-09-05,2
2019-09-06,57
2019-09-07,0
2019-09-08,0
2019-09-09,0
2019-09-10,0
2019-09-11,0
2019-09-12,0
2019-09-13,0
