date,efficiency,startTime,endTime,timeInBed,minutesAsleep
2019-06-06,93,2019-06-06T00:36:00.000,2019-06-06T09:19:00.000,523,488
2019-06-07,92,2019-06-07T00:40:00.000,2019-06-07T09:25:00.000,525,480
2019-06-08,89,2019-06-08T01:10:30.000,2019-06-08T09:26:30.000,496,440
2019-06-09,91,2019-06-09T00:59:00.000,2019-06-09T09:07:00.000,488,442
2019-06-10,94,2019-06-10T01:33:30.000,2019-06-10T08:56:30.000,443,418
2019-06-11,88,2019-06-11T02:15:30.000,2019-06-11T09:17:00.000,421,367
2019-06-12,90,2019-06-12T00:51:30.000,2019-06-12T09:38:30.000,527,473
2019-06-13,90,2019-06-13T00:29:00.000,2019-06-13T06:53:00.000,384,347
2019-06-14,93,2019-06-14T02:19:30.000,2019-06-14T10:33:30.000,494,459
2019-06-15,95,2019-06-15T01:40:30.000,2019-06-15T08:54:30.000,434,412
2019-06-16,96,2019-06-16T01:50:30.000,2019-06-16T09:11:00.000,440,422
2019-06-17,93,2019-06-17T01:16:00.000,2019-06-17T07:09:00.000,353,330
2019-06-18,95,2019-06-18T00:34:00.000,2019-06-18T09:55:30.000,561,534
2019-06-19,90,2019-06-19T00:45:30.000,2019-06-19T09:56:00.000,550,493
2019-06-20,92,2019-06-20T01:34:30.000,2019-06-20T08:59:00.000,444,407
2019-06-21,90,2019-06-21T02:29:00.000,2019-06-21T09:25:30.000,416,373
2019-06-22,92,2019-06-22T01:12:00.000,2019-06-22T09:34:30.000,502,463
2019-06-23,93,2019-06-23T01:50:00.000,2019-06-23T09:15:00.000,445,410
2019-06-24,94,2019-06-24T02:34:30.000,2019-06-24T09:43:30.000,429,403
2019-06-25,94,2019-06-25T00:59:00.000,2019-06-25T08:28:00.000,449,420
2019-06-26,95,2019-06-26T00:44:00.000,2019-06-26T08:57:00.000,493,465
2019-06-27,93,2019-06-27T00:53:00.000,2019-06-27T08:43:30.000,470,439
2019-06-29,91,2019-06-28T22:37:00.000,2019-06-29T08:34:30.000,597,546
2019-06-30,90,2019-06-30T00:18:30.000,2019-06-30T09:12:00.000,533,480
2019-07-01,93,2019-07-01T01:55:00.000,2019-07-01T08:19:30.000,384,357
2019-07-02,91,2019-07-01T23:50:30.000,2019-07-02T09:10:00.000,559,507
2019-07-03,92,2019-07-02T23:18:30.000,2019-07-03T03:14:30.000,236,217
2019-07-04,95,2019-07-04T12:36:30.000,2019-07-04T16:03:00.000,206,196
2019-07-05,93,2019-07-05T01:57:30.000,2019-07-05T09:38:00.000,460,427
2019-07-06,96,2019-07-06T01:57:00.000,2019-07-06T07:35:00.000,338,324
