dateTime,value
2019-06-06,4062
2019-06-07,9568
2019-06-08,9405
2019-06-09,10976
2019-06-10,4800
2019-06-11,4382
2019-06-12,10499
2019-06-13,8463
2019-06-14,4984
2019-06-15,5551
2019-06-16,6933
2019-06-17,7505
2019-06-18,28514
2019-06-19,4556
2019-06-20,1112
2019-06-21,5625
2019-06-22,2056
2019-06-23,14928
2019-06-24,1299
2019-06-25,4736
2019-06-26,7184
2019-06-27,3286
2019-06-28,5103
2019-06-29,6409
2019-06-30,14431
2019-07-01,12124
2019-07-02,6005
2019-07-03,4979
2019-07-04,17095
2019-07-05,18326
2019-07-06,16960
2019-07-07,25564
2019-07-08,11202
2019-07-09,11462
2019-07-10,12631
2019-07-11,13604
2019-07-12,19786
2019-07-13,12256
2019-07-14,5715
2019-07-15,15051
2019-07-16,5305
2019-07-17,7375
2019-07-18,17520
2019-07-19,6687
2019-07-20,9075
2019-07-21,17085
2019-07-22,12760
2019-07-23,8607
2019-07-24,7039
2019-07-25,23162
2019-07-26,12556
2019-07-27,11012
2019-07-28,13005
2019-07-29,6000
2019-07-30,8280
2019-07-31,4997
2019-08-01,9892
2019-08-02,9784
2019-08-03,10421
2019-08-04,6167
2019-08-05,4311
2019-08-06,14980
2019-08-07,5004
2019-08-08,5088
2019-08-09,12471
2019-08-10,13988
2019-08-11,13938
2019-08-12,8943
2019-08-13,10572
2019-08-14,5270
2019-08-15,4074
2019-08-16,6239
2019-08-17,7905
2019-08-18,4371
2019-08-19,9811
2019-08-20,4015
