"","ds","y"
"1",2019-07-09 00:00:00,18
"2",2019-07-09 00:15:00,33
"3",2019-07-09 00:30:00,299
"4",2019-07-09 00:45:00,0
"5",2019-07-09 01:00:00,0
"6",2019-07-09 01:15:00,0
"7",2019-07-09 01:30:00,0
"8",2019-07-09 01:45:00,0
"9",2019-07-09 02:00:00,0
"10",2019-07-09 02:15:00,8
"11",2019-07-09 02:30:00,0
"12",2019-07-09 02:45:00,0
"13",2019-07-09 03:00:00,0
"14",2019-07-09 03:15:00,0
"15",2019-07-09 03:30:00,0
"16",2019-07-09 03:45:00,0
"17",2019-07-09 04:00:00,0
"18",2019-07-09 04:15:00,16
"19",2019-07-09 04:30:00,0
"20",2019-07-09 04:45:00,0
"21",2019-07-09 05:00:00,138
"22",2019-07-09 05:15:00,269
"23",2019-07-09 05:30:00,673
"24",2019-07-09 05:45:00,64
"25",2019-07-09 06:00:00,0
"26",2019-07-09 06:15:00,0
"27",2019-07-09 06:30:00,30
"28",2019-07-09 06:45:00,110
"29",2019-07-09 07:00:00,19
"30",2019-07-09 07:15:00,160
"31",2019-07-09 07:30:00,304
"32",2019-07-09 07:45:00,0
"33",2019-07-09 08:00:00,630
"34",2019-07-09 08:15:00,66
"35",2019-07-09 08:30:00,389
"36",2019-07-09 08:45:00,308
"37",2019-07-09 09:00:00,447
"38",2019-07-09 09:15:00,307
"39",2019-07-09 09:30:00,20
"40",2019-07-09 09:45:00,166
"41",2019-07-09 10:00:00,7
"42",2019-07-09 10:15:00,15
"43",2019-07-09 10:30:00,89
"44",2019-07-09 10:45:00,0
"45",2019-07-09 11:00:00,0
"46",2019-07-09 11:15:00,0
"47",2019-07-09 11:30:00,0
"48",2019-07-09 11:45:00,11
"49",2019-07-09 12:00:00,0
"50",2019-07-09 12:15:00,0
"51",2019-07-09 12:30:00,0
"52",2019-07-09 12:45:00,0
"53",2019-07-09 13:00:00,15
"54",2019-07-09 13:15:00,0
"55",2019-07-09 13:30:00,10
"56",2019-07-09 13:45:00,0
"57",2019-07-09 14:00:00,0
"58",2019-07-09 14:15:00,0
"59",2019-07-09 14:30:00,49
"60",2019-07-09 14:45:00,154
"61",2019-07-09 15:00:00,49
"62",2019-07-09 15:15:00,0
"63",2019-07-09 15:30:00,0
"64",2019-07-09 15:45:00,0
"65",2019-07-09 16:00:00,93
"66",2019-07-09 16:15:00,8
"67",2019-07-09 16:30:00,0
"68",2019-07-09 16:45:00,0
"69",2019-07-09 17:00:00,0
"70",2019-07-09 17:15:00,207
"71",2019-07-09 17:30:00,365
"72",2019-07-09 17:45:00,1125
"73",2019-07-09 18:00:00,523
"74",2019-07-09 18:15:00,67
"75",2019-07-09 18:30:00,138
"76",2019-07-09 18:45:00,133
"77",2019-07-09 19:00:00,130
"78",2019-07-09 19:15:00,152
"79",2019-07-09 19:30:00,521
"80",2019-07-09 19:45:00,0
"81",2019-07-09 20:00:00,75
"82",2019-07-09 20:15:00,167
"83",2019-07-09 20:30:00,116
"84",2019-07-09 20:45:00,1172
"85",2019-07-09 21:00:00,760
"86",2019-07-09 21:15:00,618
"87",2019-07-09 21:30:00,0
"88",2019-07-09 21:45:00,0
"89",2019-07-09 22:00:00,77
"90",2019-07-09 22:15:00,20
"91",2019-07-09 22:30:00,0
"92",2019-07-09 22:45:00,11
"93",2019-07-09 23:00:00,39
"94",2019-07-09 23:15:00,63
"95",2019-07-09 23:30:00,9
"96",2019-07-09 23:45:00,0
"97",2019-07-10 00:00:00,114
"98",2019-07-10 00:15:00,79
"99",2019-07-10 00:30:00,0
"100",2019-07-10 00:45:00,0
"101",2019-07-10 01:00:00,0
"102",2019-07-10 01:15:00,0
"103",2019-07-10 01:30:00,0
"104",2019-07-10 01:45:00,0
"105",2019-07-10 02:00:00,0
"106",2019-07-10 02:15:00,38
