"object" "n" "percentage"
"car" 1611 0.435640886965928
"person" 1309 0.353975121687399
"potted plant" 327 0.0884261763115197
"motorcycle" 180 0.0486749594375338
"traffic light" 78 0.0210924824229313
"truck" 68 0.018388318009735
"umbrella" 22 0.00594916170903191
"bus" 16 0.00432666306111412
"bench" 12 0.00324499729583559
"train" 12 0.00324499729583559
"backpack" 11 0.00297458085451595
"suitcase" 9 0.00243374797187669
"bicycle" 7 0.00189291508923743
"tv" 6 0.00162249864791779
"stop sign" 5 0.00135208220659816
"chair" 4 0.00108166576527853
"clock" 4 0.00108166576527853
"book" 3 0.000811249323958897
"refrigerator" 3 0.000811249323958897
"mouse" 2 0.000540832882639265
"bed" 1 0.000270416441319632
"bird" 1 0.000270416441319632
"boat" 1 0.000270416441319632
"bottle" 1 0.000270416441319632
"bowl" 1 0.000270416441319632
"keyboard" 1 0.000270416441319632
"kite" 1 0.000270416441319632
"oven" 1 0.000270416441319632
"sink" 1 0.000270416441319632
