Name,Duration,IsExplicit,Id,Uri,Artists,MainArtistName,MainArtistId,Album,AlbumId,PlayedAt
Flor (feat. Benito Martínez),173782,False,7zqbzmtpvJ9yqfnykmGYW6,spotify:track:7zqbzmtpvJ9yqfnykmGYW6,"[{""name"": ""Los Rivera Destino"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/7LQaY9LGXHzoJY8DvwpSid""}, ""uri"": ""spotify:artist:7LQaY9LGXHzoJY8DvwpSid"", ""href"": ""https://api.spotify.com/v1/artists/7LQaY9LGXHzoJY8DvwpSid"", ""type"": ""artist"", ""id"": ""7LQaY9LGXHzoJY8DvwpSid""}, {""name"": ""Benito Martinez"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/1hZ8FsZbzpN6p5TP4xuMTn""}, ""uri"": ""spotify:artist:1hZ8FsZbzpN6p5TP4xuMTn"", ""href"": ""https://api.spotify.com/v1/artists/1hZ8FsZbzpN6p5TP4xuMTn"", ""type"": ""artist"", ""id"": ""1hZ8FsZbzpN6p5TP4xuMTn""}]",Los Rivera Destino,7LQaY9LGXHzoJY8DvwpSid,Flor (feat. Benito Martínez),spotify:album:5c5z3CRSr3N9ntn1oLDko3,2019-06-19T20:51:33.442Z
Phone Down - OFFAIAH Remix,180090,False,3hTUA9BrpXH70MO5VabjkK,spotify:track:3hTUA9BrpXH70MO5VabjkK,"[{""name"": ""Armin van Buuren"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/0SfsnGyD8FpIN4U4WCkBZ5""}, ""uri"": ""spotify:artist:0SfsnGyD8FpIN4U4WCkBZ5"", ""href"": ""https://api.spotify.com/v1/artists/0SfsnGyD8FpIN4U4WCkBZ5"", ""type"": ""artist"", ""id"": ""0SfsnGyD8FpIN4U4WCkBZ5""}]",Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,Phone Down (Remixes),spotify:album:5IoUJoexPDDUceuJNbe8RO,2019-06-20T09:15:19.852Z
Goodbye,256786,False,7M0fsXo6rpXOKkveYooBob,spotify:track:7M0fsXo6rpXOKkveYooBob,"[{""name"": ""Apparat"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/40Ojab0UtVQFjA76qXr8Ot""}, ""uri"": ""spotify:artist:40Ojab0UtVQFjA76qXr8Ot"", ""href"": ""https://api.spotify.com/v1/artists/40Ojab0UtVQFjA76qXr8Ot"", ""type"": ""artist"", ""id"": ""40Ojab0UtVQFjA76qXr8Ot""}]",Apparat,40Ojab0UtVQFjA76qXr8Ot,The Devil's Walk,spotify:album:3LDLJX6JTDZvcCdkK7JQit,2019-06-26T13:37:41.934Z
Goodbye,256786,False,7M0fsXo6rpXOKkveYooBob,spotify:track:7M0fsXo6rpXOKkveYooBob,"[{""name"": ""Apparat"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/40Ojab0UtVQFjA76qXr8Ot""}, ""uri"": ""spotify:artist:40Ojab0UtVQFjA76qXr8Ot"", ""href"": ""https://api.spotify.com/v1/artists/40Ojab0UtVQFjA76qXr8Ot"", ""type"": ""artist"", ""id"": ""40Ojab0UtVQFjA76qXr8Ot""}]",Apparat,40Ojab0UtVQFjA76qXr8Ot,The Devil's Walk,spotify:album:3LDLJX6JTDZvcCdkK7JQit,2019-06-26T16:56:18.817Z
Peace (Suite) [Previously Unreleased],152480,False,7rKX4gJxe9HsVdkXLU8eiD,spotify:track:7rKX4gJxe9HsVdkXLU8eiD,"[{""name"": ""King Crimson"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/7M1FPw29m5FbicYzS2xdpi""}, ""uri"": ""spotify:artist:7M1FPw29m5FbicYzS2xdpi"", ""href"": ""https://api.spotify.com/v1/artists/7M1FPw29m5FbicYzS2xdpi"", ""type"": ""artist"", ""id"": ""7M1FPw29m5FbicYzS2xdpi""}]",King Crimson,7M1FPw29m5FbicYzS2xdpi,"Peace (Suite) [KC50, Vol. 23]",spotify:album:20eLZEQ87TjgbLO4S5HRbM,2019-06-27T08:28:55.353Z
Energy (with A$AP Rocky & Sabrina Claudio),228395,False,13jLiEg5wdMXuJzXXnRcnj,spotify:track:13jLiEg5wdMXuJzXXnRcnj,"[{""name"": ""BURNS"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/5eKqhPrKad0J9xGAtq3rW7""}, ""uri"": ""spotify:artist:5eKqhPrKad0J9xGAtq3rW7"", ""href"": ""https://api.spotify.com/v1/artists/5eKqhPrKad0J9xGAtq3rW7"", ""type"": ""artist"", ""id"": ""5eKqhPrKad0J9xGAtq3rW7""}, {""name"": ""A$AP Rocky"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/13ubrt8QOOCPljQ2FL1Kca""}, ""uri"": ""spotify:artist:13ubrt8QOOCPljQ2FL1Kca"", ""href"": ""https://api.spotify.com/v1/artists/13ubrt8QOOCPljQ2FL1Kca"", ""type"": ""artist"", ""id"": ""13ubrt8QOOCPljQ2FL1Kca""}, {""name"": ""Sabrina Claudio"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/30DhU7BDmF4PH0JVhu8ZRg""}, ""uri"": ""spotify:artist:30DhU7BDmF4PH0JVhu8ZRg"", ""href"": ""https://api.spotify.com/v1/artists/30DhU7BDmF4PH0JVhu8ZRg"", ""type"": ""artist"", ""id"": ""30DhU7BDmF4PH0JVhu8ZRg""}]",BURNS,5eKqhPrKad0J9xGAtq3rW7,Energy (with A$AP Rocky & Sabrina Claudio),spotify:album:2Scq3cyNzKxmN6L8qtWaCc,2019-06-27T10:25:49.837Z
Chancer,95136,False,4KlOTPE8uUzBFf4y4vFAw1,spotify:track:4KlOTPE8uUzBFf4y4vFAw1,"[{""name"": ""Dean Blunt"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/5CFSYjc0PAiQvndFjafabk""}, ""uri"": ""spotify:artist:5CFSYjc0PAiQvndFjafabk"", ""href"": ""https://api.spotify.com/v1/artists/5CFSYjc0PAiQvndFjafabk"", ""type"": ""artist"", ""id"": ""5CFSYjc0PAiQvndFjafabk""}, {""name"": ""A$AP Rocky"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/13ubrt8QOOCPljQ2FL1Kca""}, ""uri"": ""spotify:artist:13ubrt8QOOCPljQ2FL1Kca"", ""href"": ""https://api.spotify.com/v1/artists/13ubrt8QOOCPljQ2FL1Kca"", ""type"": ""artist"", ""id"": ""13ubrt8QOOCPljQ2FL1Kca""}]",Dean Blunt,5CFSYjc0PAiQvndFjafabk,Soul On Fire,spotify:album:6TszLBjIeLIiys3W7JZFog,2019-06-27T14:45:23.772Z
It Takes a Village,136376,False,127CkNVIrOjH46fqI5REzd,spotify:track:127CkNVIrOjH46fqI5REzd,"[{""name"": ""Marquis Hill"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/5QI54xb4Ovm8DwDkmmHbez""}, ""uri"": ""spotify:artist:5QI54xb4Ovm8DwDkmmHbez"", ""href"": ""https://api.spotify.com/v1/artists/5QI54xb4Ovm8DwDkmmHbez"", ""type"": ""artist"", ""id"": ""5QI54xb4Ovm8DwDkmmHbez""}, {""name"": ""Brandon Alexander Willams"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/0kJf5WTyzLuLntecduinYa""}, ""uri"": ""spotify:artist:0kJf5WTyzLuLntecduinYa"", ""href"": ""https://api.spotify.com/v1/artists/0kJf5WTyzLuLntecduinYa"", ""type"": ""artist"", ""id"": ""0kJf5WTyzLuLntecduinYa""}]",Marquis Hill,5QI54xb4Ovm8DwDkmmHbez,"Modern Flows, Vol. 2",spotify:album:4sCmxfgKflff6OQQsAw97V,2019-06-27T14:52:57.582Z
Caligula,316479,False,48q11vTdgDhiESkhgZ7hoG,spotify:track:48q11vTdgDhiESkhgZ7hoG,"[{""name"": ""Windows 96"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/65XcfOOaVxbZnNlz40DK7i""}, ""uri"": ""spotify:artist:65XcfOOaVxbZnNlz40DK7i"", ""href"": ""https://api.spotify.com/v1/artists/65XcfOOaVxbZnNlz40DK7i"", ""type"": ""artist"", ""id"": ""65XcfOOaVxbZnNlz40DK7i""}]",Windows 96,65XcfOOaVxbZnNlz40DK7i,One Hundred Mornings,spotify:album:7KM5v855lI0ht12SZ7wVOw,2019-06-27T14:50:40.685Z
Rose - A COLORS SHOW,229598,False,5maHVorfdeqeIJHqHaZCuc,spotify:track:5maHVorfdeqeIJHqHaZCuc,"[{""name"": ""YellowStraps"", ""external_urls"": {""spotify"": ""https://open.spotify.com/artist/772hWD0N94gYjnVhrqE7lx""}, ""uri"": ""spotify:artist:772hWD0N94gYjnVhrqE7lx"", ""href"": ""https://api.spotify.com/v1/artists/772hWD0N94gYjnVhrqE7lx"", ""type"": ""artist"", ""id"": ""772hWD0N94gYjnVhrqE7lx""}]",YellowStraps,772hWD0N94gYjnVhrqE7lx,Rose - A COLORS SHOW,spotify:album:3BQ1xIFnrFkrbESdGUFLYd,2019-06-27T15:01:28.862Z
