"weekday","hour","country","subcategory"
"Monday",14,"NZ","Shopping"
"Saturday",16,"NZ","Shopping"
"Saturday",12,"NZ","Food"
"Sunday",15,"NZ","Shopping"
"Sunday",17,"NZ","Food"
"Saturday",16,"NZ","Shopping"
"Sunday",15,"NZ","Drinks"
"Sunday",16,"NZ","Shopping"
"Sunday",15,"NZ","Drinks"
"Thursday",13,"NZ","Shopping"
"Friday",14,"NZ","Shopping"
"Thursday",15,"NZ","Shopping"
"Friday",16,"NZ","Food"
"Friday",9,"NZ","Library"
"Thursday",11,"NZ","Food"
"Wednesday",13,"NZ","Food"
"Tuesday",13,"NZ","Food"
"Tuesday",8,"NZ","Library"
"Monday",8,"NZ","Library"
"Saturday",11,"NZ","Coffee"
"Friday",19,"NZ","Shopping"
"Friday",15,"NZ","Shopping"
"Friday",11,"NZ","Food"
"Thursday",11,"NZ","Food"
"Wednesday",15,"NZ","Coffee"
"Tuesday",22,"NZ","Drinks"
"Tuesday",15,"NZ","Library"
"Tuesday",12,"NZ","Food"
"Monday",14,"NZ","Shopping"
"Monday",14,"NZ","Food"
"Sunday",18,"NZ","Shopping"
"Sunday",12,"NZ","Food"
"Saturday",19,"NZ","Coffee"
"Friday",9,"NZ","Library"
"Thursday",16,"NZ","Shopping"
"Thursday",9,"NZ","Library"
"Wednesday",14,"NZ","Shopping"
"Tuesday",14,"NZ","Shopping"
"Saturday",11,"NZ","Shopping"
"Friday",20,"NZ","Drinks"
"Friday",16,"NZ","Food"
"Friday",10,"NZ","Library"
"Thursday",17,"NZ","Drinks"
"Thursday",9,"NZ","Library"
"Wednesday",14,"NZ","Library"
"Tuesday",14,"NZ","Food"
"Tuesday",13,"NZ","Shopping"
"Monday",11,"NZ","Shopping"
"Sunday",17,"NZ","Food"
"Sunday",14,"NZ","Library"
"Saturday",18,"NZ","Shopping"
"Saturday",16,"NZ","Shopping"
"Friday",14,"NZ","Shopping"
"Thursday",13,"NZ","Shopping"
"Wednesday",16,"NZ","Shopping"
"Wednesday",13,"NZ","Library"
"Tuesday",16,"NZ","Drinks"
"Tuesday",9,"NZ","Library"
"Monday",16,"NZ","Shopping"
"Monday",14,"NZ","Coffee"
"Monday",12,"NZ","Shopping"
"Sunday",12,"NZ","Library"
"Friday",9,"NZ","Library"
"Wednesday",12,"NZ","Library"
"Sunday",16,"NZ","Shopping"
"Friday",14,"NZ","Food"
"Friday",12,"NZ","Shopping"
"Wednesday",10,"NZ","Library"
"Tuesday",16,"NZ","Shopping"
"Tuesday",9,"NZ","Library"
"Monday",21,"NZ","Food"
"Monday",9,"NZ","Library"
"Sunday",19,"NZ","Shopping"
"Sunday",14,"NZ","Food"
"Sunday",9,"NZ","Library"
"Saturday",9,"NZ","Library"
"Friday",21,"NZ","Food"
"Friday",19,"NZ","Drinks"
"Friday",9,"NZ","Library"
"Thursday",14,"NZ","Food"
"Thursday",11,"NZ","Library"
"Wednesday",9,"NZ","Library"
"Tuesday",21,"NZ","Shopping"
"Tuesday",14,"NZ","Food"
"Tuesday",11,"NZ","Library"
"Monday",20,"NZ","Food"
"Sunday",18,"NZ","Food"
"Sunday",11,"NZ","Library"
"Saturday",15,"NZ","Shopping"
"Thursday",13,"NZ","Food"
"Thursday",9,"NZ","Library"
"Wednesday",12,"NZ","Food"
"Wednesday",9,"NZ","Library"
"Tuesday",13,"NZ","Library"
"Monday",20,"NZ","Shopping"
"Monday",13,"NZ","Food"
"Monday",9,"NZ","Library"
"Sunday",15,"NZ","Drinks"
"Sunday",14,"NZ","Food"
"Sunday",9,"NZ","Library"
"Saturday",15,"NZ","Food"
"Saturday",12,"NZ","Library"
"Friday",13,"NZ","Food"
"Friday",13,"NZ","Library"
"Thursday",12,"NZ","Library"
"Wednesday",19,"NZ","Food"
"Wednesday",18,"NZ","Shopping"
"Wednesday",14,"NZ","Library"
"Tuesday",15,"NZ","Library"
"Tuesday",14,"NZ","Shopping"
"Monday",14,"NZ","Library"
"Monday",13,"NZ","Shopping"
"Sunday",19,"NZ","Food"
"Sunday",13,"NZ","Food"
"Sunday",10,"NZ","Library"
"Saturday",18,"NZ","Shopping"
"Saturday",9,"NZ","Library"
"Friday",10,"NZ","Library"
"Thursday",17,"NZ","Drinks"
"Thursday",14,"NZ","Food"
"Thursday",9,"NZ","Library"
"Wednesday",12,"NZ","Library"
"Tuesday",20,"NZ","Food"
"Tuesday",15,"NZ","Food"
"Tuesday",11,"NZ","Library"
"Monday",19,"NZ","Food"
"Sunday",13,"NZ","Shopping"
"Saturday",13,"NZ","Shopping"
"Tuesday",10,"NZ","Shopping"
"Monday",14,"NZ","Shopping"
"Saturday",20,"NZ","Shopping"
"Saturday",13,"NZ","Food"
"Saturday",12,"NZ","Food"
"Friday",18,"NZ","Food"
"Thursday",17,"NZ","Shopping"
"Wednesday",14,"NZ","Shopping"
"Wednesday",9,"NZ","Library"
"Tuesday",19,"NZ","Food"
"Tuesday",16,"NZ","Library"
"Sunday",17,"JP","Food"
"Sunday",17,"JP","Shopping"
"Sunday",15,"JP","Shopping"
"Sunday",14,"JP","Food"
"Sunday",12,"JP","Shopping"
"Saturday",21,"JP","Food"
"Saturday",21,"JP","Shopping"
"Saturday",13,"JP","Shopping"
"Saturday",12,"JP","Food"
"Friday",20,"JP","Shopping"
"Friday",19,"JP","Food"
"Friday",19,"JP","Shopping"
"Friday",15,"JP","Shopping"
"Friday",11,"JP","Food"
"Thursday",18,"JP","Shopping"
"Thursday",15,"JP","Food"
"Wednesday",21,"JP","Food"
"Wednesday",14,"JP","Shopping"
"Tuesday",17,"JP","Shopping"
"Monday",20,"JP","Drinks"
"Monday",18,"JP","Shopping"
"Monday",14,"JP","Shopping"
"Sunday",18,"JP","Food"
"Sunday",15,"JP","Shopping"
"Sunday",6,"JP","Shopping"
"Saturday",16,"JP","Food"
"Friday",20,"JP","Shopping"
"Thursday",23,"JP","Shopping"
"Thursday",19,"JP","Drinks"
"Thursday",19,"JP","Shopping"
"Wednesday",19,"JP","Food"
"Wednesday",18,"JP","Shopping"
"Wednesday",18,"JP","Shopping"
"Wednesday",17,"JP","Shopping"
"Tuesday",18,"JP","Shopping"
"Tuesday",14,"JP","Shopping"
"Tuesday",14,"JP","Food"
"Monday",20,"JP","Shopping"
"Monday",14,"JP","Shopping"
"Sunday",21,"JP","Shopping"
"Sunday",17,"JP","Food"
"Saturday",20,"JP","Shopping"
"Saturday",19,"JP","Food"
"Saturday",14,"JP","Shopping"
"Saturday",13,"JP","Shopping"
"Saturday",9,"JP","Shopping"
"Friday",8,"SG","Food"
"Thursday",17,"SG","Shopping"
"Wednesday",19,"SG","Food"
"Wednesday",16,"SG","Shopping"
"Tuesday",18,"SG","Food"
"Tuesday",16,"SG","Food"
"Tuesday",16,"SG","Shopping"
"Monday",17,"SG","Library"
"Monday",15,"SG","Shopping"
"Monday",13,"SG","Shopping"
"Sunday",20,"SG","Food"
"Saturday",19,"SG","Food"
"Saturday",18,"SG","Food"
"Friday",17,"SG","Food"
"Friday",16,"SG","Shopping"
"Friday",15,"SG","Shopping"
"Friday",13,"SG","Shopping"
"Thursday",16,"SG","Food"
"Wednesday",20,"HK","Shopping"
"Wednesday",11,"HK","Food"
"Tuesday",15,"HK","Shopping"
"Tuesday",14,"HK","Food"
"Tuesday",11,"HK","Shopping"
"Monday",18,"HK","Food"
"Sunday",19,"HK","Food"
"Sunday",19,"HK","Shopping"
"Sunday",12,"HK","Food"
"Saturday",18,"HK","Shopping"
"Saturday",18,"HK","Food"
"Saturday",14,"HK","Food"
"Friday",19,"HK","Food"
"Friday",9,"HK","Food"
"Thursday",21,"HK","Shopping"
"Thursday",19,"HK","Food"
"Thursday",17,"HK","Shopping"
"Thursday",15,"HK","Food"
"Thursday",14,"HK","Shopping"
"Wednesday",20,"HK","Food"
"Wednesday",12,"HK","Shopping"
"Wednesday",12,"HK","Food"
"Tuesday",17,"HK","Drinks"
"Tuesday",16,"HK","Food"
"Sunday",16,"ID","Shopping"
"Saturday",19,"ID","Food"
"Saturday",18,"ID","Food"
"Thursday",14,"ID","Food"
"Wednesday",20,"ID","Coffee"
"Tuesday",19,"ID","Coffee"
"Tuesday",14,"ID","Food"
"Sunday",18,"ID","Shopping"
"Sunday",18,"ID","Food"
"Sunday",13,"ID","Shopping"
"Sunday",12,"ID","Food"
"Saturday",20,"ID","Food"
"Friday",19,"ID","Shopping"
"Friday",14,"ID","Food"
"Thursday",20,"ID","Food"
"Thursday",16,"ID","Shopping"
"Wednesday",20,"ID","Coffee"
"Tuesday",21,"ID","Food"
"Tuesday",13,"ID","Food"
"Monday",17,"ID","Shopping"
"Monday",16,"ID","Food"
"Saturday",20,"ID","Food"
"Saturday",16,"ID","Drinks"
