lat,lon,weather_main,weather_description,temp,pressure,humidity,temp_min,temp_max,pressure_sea_level,pressure_grnd_level,wind_speed,wind_deg,cloudiness,rain_1h,rain_3h,snow_1h,snow_3h,country,sunrise,sunset,city_id,city_name,uv,date_iso,dt
14.37,100.59,Clouds,few clouds,300.22,1008.0,83.0,299.82,300.37,-1.0,-1.0,2.6,220.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566593736
14.37,100.59,Clouds,few clouds,300.3,1008.0,74.0,299.82,301.15,-1.0,-1.0,3.6,230.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566596736
14.37,100.59,Clouds,few clouds,300.3,1008.0,74.0,299.82,301.15,-1.0,-1.0,3.6,230.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566596136
14.37,100.59,Clouds,few clouds,300.41,1008.0,78.0,299.82,301.15,-1.0,-1.0,3.6,230.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566592536
14.37,100.59,Clouds,few clouds,300.3,1008.0,78.0,299.82,301.15,-1.0,-1.0,3.6,230.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566597336
14.37,100.59,Clouds,few clouds,300.21,1008.0,83.0,299.82,300.37,-1.0,-1.0,2.6,220.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566594936
14.37,100.59,Clouds,few clouds,300.22,1008.0,83.0,299.82,300.37,-1.0,-1.0,2.6,220.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566593736
14.37,100.59,Clouds,few clouds,300.3,1008.0,74.0,299.82,301.15,-1.0,-1.0,3.6,230.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566595536
14.37,100.59,Clouds,scattered clouds,305.87,1006.0,62.0,304.82,307.59,-1.0,-1.0,5.1,280.0,40.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.11,2019-08-24T12:00:00Z,1566632136
14.37,100.59,Clouds,scattered clouds,306.15,1006.0,62.0,304.82,307.59,-1.0,-1.0,5.1,280.0,40.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.11,2019-08-24T12:00:00Z,1566632736
14.37,100.59,Clouds,scattered clouds,306.09,1005.0,62.0,305.15,308.15,-1.0,-1.0,5.7,280.0,40.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.11,2019-08-24T12:00:00Z,1566635136
14.37,100.59,Clouds,scattered clouds,306.17,1006.0,59.0,304.82,307.59,-1.0,-1.0,5.1,290.0,40.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.11,2019-08-24T12:00:00Z,1566633336
14.37,100.59,Clouds,scattered clouds,306.43,1005.0,62.0,305.15,308.15,-1.0,-1.0,5.7,280.0,40.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.11,2019-08-24T12:00:00Z,1566635736
14.37,100.59,Clouds,scattered clouds,306.17,1006.0,59.0,305.37,307.59,-1.0,-1.0,5.1,290.0,40.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.11,2019-08-24T12:00:00Z,1566634536
14.37,100.59,Clouds,scattered clouds,306.26,1006.0,62.0,304.82,308.15,-1.0,-1.0,5.1,280.0,40.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.11,2019-08-24T12:00:00Z,1566631536
14.37,100.59,Clouds,scattered clouds,306.17,1006.0,59.0,304.82,307.59,-1.0,-1.0,5.1,290.0,40.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.11,2019-08-24T12:00:00Z,1566633336
14.37,100.59,Clouds,few clouds,301.39,1010.0,74.0,300.93,302.15,-1.0,-1.0,3.6,260.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566582336
14.37,100.59,Clouds,few clouds,301.61,1010.0,74.0,300.93,302.15,-1.0,-1.0,3.6,260.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566581136
14.37,100.59,Clouds,few clouds,301.7,1010.0,70.0,300.37,303.15,-1.0,-1.0,3.1,260.0,20.0,-1,-1,-1,-1,TH,1566515103,1566560175,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566578736
14.37,100.59,Clouds,few clouds,301.39,1010.0,74.0,300.93,302.15,-1.0,-1.0,3.6,260.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566582336
14.37,100.59,Clouds,few clouds,301.5,1010.0,74.0,300.37,302.15,-1.0,-1.0,4.1,250.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566579936
14.37,100.59,Clouds,few clouds,301.5,1010.0,74.0,300.37,302.15,-1.0,-1.0,4.1,250.0,20.0,-1,-1,-1,-1,TH,1566515103,1566560175,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566579336
14.37,100.59,Clouds,few clouds,301.5,1010.0,74.0,300.37,302.15,-1.0,-1.0,4.1,250.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566580536
14.37,100.59,Clouds,few clouds,301.61,1010.0,74.0,300.93,302.15,-1.0,-1.0,3.6,260.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566581136
14.37,100.59,Clouds,few clouds,300.19,1008.0,74.0,299.82,301.15,-1.0,-1.0,3.1,250.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566600936
14.37,100.59,Clouds,few clouds,300.41,1008.0,78.0,299.82,301.15,-1.0,-1.0,3.6,230.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566597936
14.37,100.59,Clouds,few clouds,300.19,1008.0,74.0,299.82,301.15,-1.0,-1.0,3.1,250.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566599136
14.37,100.59,Clouds,few clouds,300.41,1008.0,78.0,299.82,301.15,-1.0,-1.0,3.6,230.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566597936
14.37,100.59,Clouds,few clouds,300.2,1008.0,74.0,299.82,301.15,-1.0,-1.0,3.1,250.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566600336
14.37,100.59,Clouds,few clouds,300.19,1008.0,74.0,299.82,301.15,-1.0,-1.0,3.1,250.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566599136
14.37,100.59,Clouds,few clouds,300.2,1008.0,74.0,299.82,301.15,-1.0,-1.0,3.1,250.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566602136
14.37,100.59,Clouds,few clouds,300.19,1008.0,74.0,299.82,301.15,-1.0,-1.0,3.1,250.0,20.0,-1,-1,-1,-1,TH,1566601510,1566646538,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566601536
14.37,100.59,Clouds,scattered clouds,304.02,1007.0,66.0,303.71,304.26,-1.0,-1.0,3.1,200.0,40.0,-1,-1,-1,-1,TH,1566515103,1566560175,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566543936
18.8,98.96,Clouds,broken clouds,303.28,1009.0,66.0,302.59,304.15,-1.0,-1.0,1.5,190.0,75.0,-1,-1,-1,-1,TH,1566515250,1566560810,1153671,Chiang Mai,13.12,2019-08-23T12:00:00Z,1566543223
14.37,100.59,Clouds,scattered clouds,304.11,1007.0,62.0,303.71,305.15,-1.0,-1.0,1.5,-1.0,40.0,-1,-1,-1,-1,TH,1566515103,1566560175,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566546336
14.37,100.59,Clouds,scattered clouds,304.1,1007.0,62.0,303.71,305.15,-1.0,-1.0,3.6,220.0,40.0,-1,-1,-1,-1,TH,1566515103,1566560175,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566546936
14.37,100.59,Clouds,scattered clouds,304.02,1007.0,66.0,303.71,304.26,-1.0,-1.0,3.1,200.0,40.0,-1,-1,-1,-1,TH,1566515103,1566560175,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566544536
14.37,100.59,Clouds,scattered clouds,304.11,1007.0,62.0,303.71,305.15,-1.0,-1.0,1.5,-1.0,40.0,-1,-1,-1,-1,TH,1566515103,1566560175,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566545736
14.37,100.59,Clouds,scattered clouds,304.21,1007.0,62.0,303.71,305.15,-1.0,-1.0,1.5,-1.0,40.0,-1,-1,-1,-1,TH,1566515103,1566560175,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566545136
14.37,100.59,Clouds,scattered clouds,304.1,1007.0,62.0,303.71,305.15,-1.0,-1.0,3.6,220.0,40.0,-1,-1,-1,-1,TH,1566515103,1566560175,1607532,Phra Nakhon Si Ayutthaya,13.88,2019-08-23T12:00:00Z,1566546936
